"";"ResponseId";"Województwo";"StartDate";"EndDate";"Status";"IPAddress";"Progress";"Duration__in_seconds_";"Finished";"RecordedDate";"RecipientLastName";"RecipientFirstName";"RecipientEmail";"ExternalReference";"LocationLatitude";"LocationLongitude";"DistributionChannel";"UserLanguage";"Q_RecaptchaScore";"Q2";"Q4";"Q20";"Q19";"Q5_1";"Q5_2";"Q5_3";"Q5_4";"Q5_5";"Q5_6";"Q5_7";"Q5_8";"Q5_9";"Q5_10";"Q5_11";"Q5_12";"Q5_13";"Q5_14";"Q5_15";"Q21_1";"Q21_2";"Q21_3";"Q21_4";"Q21_5";"Q21_6";"Q21_7";"Q21_8";"Q21_9";"Q21_10";"Q21_11";"Q21_12";"Q21_13";"Q21_14";"Q21_15";"Q21_16";"Q21_17";"Q21_18";"Q7_1";"Q7_2";"Q7_3";"Q7_4";"Q7_5";"Q7_6";"Q7_7";"Q7_8";"Q7_9";"Q7_10";"Q7_11";"Q9_1";"Q9_2";"Q9_3";"Q9_4";"Q9_5";"Q9_6";"Q9_7";"Q9_8";"Q9_9";"Q9_10";"Q9_11";"Q9_12";"Q9_13";"Q9_14";"Q9_15";"Q9_16";"Q9_17";"Q9_18";"Q9_19";"Q9_20";"Q9_21";"Q9_22";"Q9_23";"Q9_24";"Q9_25";"Q9_26";"Q9_27";"Q9_28";"Q9_29";"Q9_30";"Q9_31";"Q6_1";"Q6_2";"Q6_3";"Q6_4";"Q6_5";"Q6_6";"Q6_7";"Q6_8";"Q6_9";"Q6_10";"Q6_11";"Q6_12";"Q6_13";"Q6_14";"Q6_15";"Q6_16";"Q6_17";"Q6_18";"Q6_19";"Q6_20";"Q6_21";"Q6_22";"Q6_23";"Q8_1";"Q8_2";"Q8_3";"Q8_4";"Q8_5";"Q8_6";"Q8_7";"Q8_8";"Q8_9";"Q8_10";"Q8_11";"Q8_12";"Q8_13";"Q10_1";"Q10_2";"Q10_3";"Q10_4";"Q10_5";"Q10_6";"Q10_7";"Q10_8";"Q10_9";"Q10_10";"Q10_11";"Q10_12";"Q11_1";"Q11_2";"Q11_3";"Q11_4";"Q11_5";"Q11_6";"Q11_7";"Q11_8";"Q11_9";"Q11_10";"Q11_11";"Q11_12";"Q11_13";"Q12_1";"Q12_2";"Q13_1";"Q13_2";"Q13_3";"Q13_4";"Q13_5";"Q13_6";"Q13_7";"Q13_8";"Q13_9";"Q13_10";"Q14_1";"Q14_2";"Q14_3";"Q14_4";"Q15_1";"Q15_2";"Q15_3";"Q15_4";"Q15_5";"Q15_6";"Q15_7";"Q15_8";"Q15_9";"Q15_10";"Q15_11";"Q15_12";"Q15_13";"Q15_14";"Q16_1";"Q16_2";"Q17";"Q18_1";"Q18_2";"Kody_szkol";"Q99___Miasto_Wie_";"Q18_1_Nic";"Q18_1_Nie_wiem";"Q18_1_odp";"Q18_2_m_zew_pieni_dze";"Q18_2_Zawodowe";"Q18_2_m_zew_s_awa";"Q18_2_Wa_ne";"Q18_2_m_osi_gniec";"Q18_2_m_zew_wynalazek";"Q18_2_Inne";"Q18_2_Status";"Q18_2_m_zew_inne";"Q18_2_Pomoc";"Q18_2_m_wew_zaint";"Q18_2_m_zew_wa_ne";"Q18_2_m_wew__przyj";"Q18_2_odp";"Q18_2_W_asne";"Q18_2___Parent_Topics";"Q18_2___Sentiment_Polarity";"Q18_2___Sentiment_Score";"Q18_2___Sentiment";"Q18_2___Topic_Sentiment_Label";"Q18_2___Topic_Sentiment_Score";"Q18_2___Topics"
"1";"R_2wuBV8ROv3LewuQ";"SWIETOKRZYSKIE";2020-12-10 00:32:17;2020-12-10 02:49:48;0;"37.249.248.71";100;8250;1;2020-12-10 02:49:48;"";"";"";"";"50.8885955810546875";"21.286895751953125";"anonymous";"EN";0,9;1;"14";"Szkola Podstawowa im. Jana Kochanowskiego";"Biala Rawska";1;3;2;2;4;4;3;1;2;4;2;4;4;3;2;2;4;2;2;1;2;2;2;2;2;3;3;1;1;1;3;1;2;2;4;4;4;4;4;4;4;3;2;1;3;1;1;1;2;1;2;3;2;2;4;2;1;1;1;1;1;2;4;1;1;4;3;2;2;3;1;1;1;1;4;2;3;2;2;2;4;2;2;3;4;4;3;3;4;2;2;3;1;2;3;1;4;3;2;2;2;2;2;2;4;2;4;3;1;2;2;2;3;2;2;2;2;2;2;2;1;2;1;2;1;1;3;3;4;3;2;3;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;NA;3;3;2;3;2;3;NA;3;2;2;"wynalezc lek na raka";"pomoglo by to ludziom";4;"psycholog/nauczyciel";"-";NA;2;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"999";"";"";0;0;"Neutral";"";"";"Unknown"
"2";"R_cuzZs5jRVR9z2o1";"LUBELSKIE";2020-12-18 00:05:42;2020-12-18 00:32:39;0;"95.41.36.196";100;1617;1;2020-12-18 00:32:39;"";"";"";"";"51.356903076171875";"22.123992919921875";"anonymous";"EN";1;2;"14";"Jana Kochanowskiego";"Biala Rawska";1;1;4;2;2;2;1;1;3;1;1;4;4;4;4;1;4;4;4;4;4;4;4;4;3;4;3;1;3;3;4;4;1;4;4;3;4;4;4;4;4;4;2;2;3;1;4;3;3;4;4;4;4;4;3;4;4;4;2;4;1;2;3;4;3;1;2;1;1;2;1;2;4;4;4;3;4;4;3;1;4;4;4;4;4;3;4;4;4;4;4;4;3;1;4;4;4;3;2;3;2;2;2;2;3;2;4;2;2;4;2;4;2;3;2;2;3;2;1;2;1;3;2;3;3;3;2;3;2;1;1;2;3;3;1;2;1;2;2;1;4;1;4;3;1;1;1;1;3;3;1;4;4;4;4;1;4;4;3;4;3;3;3;4;4;3;"";"";2;"";"";8;2;"";"";"999";"";"";"";"";"";"";"";"";"";"";"";"";"";"999";"";"";NA;NA;"";"";"";""
"3";"R_tK8GaIOQYmmJ1df";"KUJAWSKO-POMORSKIE";2020-11-20 01:57:11;2020-11-20 02:07:25;0;"185.241.232.101";100;614;1;2020-11-20 02:07:26;"";"";"";"";"52.5305023193359375";"17.6006011962890625";"anonymous";"EN";0,9;2;"14";"szkola pods nr 6 we wrzesni im jana pawla 2";"slowackiego";1;1;2;4;1;4;3;NA;4;4;4;4;1;4;3;1;3;2;1;2;1;2;1;3;1;1;2;2;1;1;2;2;2;1;1;2;2;3;3;2;2;2;1;2;1;3;1;3;2;2;3;3;2;1;2;2;2;1;2;2;2;2;3;2;2;2;1;2;2;3;NA;1;2;2;2;4;4;4;1;1;1;1;2;3;4;4;4;4;4;2;1;4;1;1;4;4;4;4;2;2;2;2;3;3;2;2;3;3;3;3;3;2;2;4;3;3;3;3;2;2;3;2;2;2;3;2;2;1;2;3;3;3;2;3;3;3;1;4;4;2;4;4;4;4;4;2;2;4;3;2;1;4;4;4;4;4;4;1;4;4;4;4;4;1;4;4;"e";"e";4;"kucharz";"kocham";99;2;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";0;8;"Positive";"";"";"Unknown"
"4";"R_2xQntqwK2mwq2qB";"KUJAWSKO-POMORSKIE";2020-11-20 01:56:15;2020-11-20 02:09:22;0;"185.241.232.66";100;787;1;2020-11-20 02:09:22;"";"";"";"";"52.5305023193359375";"17.6006011962890625";"anonymous";"EN";0,9;2;"14";"Samorzadowa Szkola Podstawowa Nr 6";"Wrzesnia";2;1;1;2;3;1;1;1;2;1;1;2;2;1;2;1;2;3;2;4;4;2;1;1;1;1;1;1;NA;1;3;1;2;3;2;2;3;4;3;2;2;1;1;2;1;2;1;2;1;1;2;1;2;1;2;1;1;1;2;1;2;2;3;2;1;2;3;1;3;1;1;1;2;1;3;1;2;3;2;2;1;2;2;3;2;2;3;2;3;2;1;4;3;2;2;3;2;4;2;3;1;2;1;3;3;2;1;3;1;3;1;3;1;2;3;1;2;1;1;1;1;4;1;4;4;4;4;3;4;4;4;1;4;1;2;4;1;4;2;1;4;2;3;4;2;1;1;3;3;4;4;4;1;4;4;4;1;1;1;4;1;1;4;1;4;4;"taki";"jestem taki";2;"fajny";"tak";78;2;"1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";0;0;"Neutral";"";"";"Unknown"
"5";"R_s5wAguX42btzOV3";"ZACHODNIOPOMORSKIE";2020-12-01 07:55:32;2020-12-01 08:13:10;0;"37.30.12.207";100;1058;1;2020-12-01 08:13:10;"";"";"";"";"52.7357025146484375";"15.2353973388671875";"anonymous";"EN";0,3;1;"13";"Szkola podstawowa nr 3 im. Mikolaja Kopernika";"Trzcianka";3;1;1;3;2;3;2;3;3;1;4;2;4;1;1;3;2;4;2;4;4;4;2;3;4;4;4;1;2;2;1;3;2;3;4;4;4;1;4;3;1;1;4;2;3;2;4;4;3;3;1;4;4;4;3;1;1;1;3;3;3;2;2;1;3;1;3;1;4;1;1;1;1;1;3;4;4;1;1;3;4;2;2;3;4;3;4;2;2;2;1;3;2;1;2;3;4;2;1;4;2;2;3;3;1;1;4;2;1;4;1;4;2;2;3;2;1;2;3;4;1;1;3;3;3;2;2;NA;1;1;1;2;3;2;1;4;1;2;4;1;4;1;2;2;1;1;1;2;2;4;3;4;4;4;4;4;4;4;4;3;3;3;4;1;3;3;"";"";4;"Psychologiem lub psychoterapeutka";"Lubie pomagac ludziom w problemach oraz wspierac ich psychicznie";17;2;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";0;5;"Positive";"";"";"Unknown"
"6";"R_1qadI5xUaNAZpBx";"ZACHODNIOPOMORSKIE";2020-12-07 08:19:22;2020-12-07 08:37:21;0;"37.248.208.146";100;1079;1;2020-12-07 08:37:22;"";"";"";"";"52.71710205078125";"15.174102783203125";"anonymous";"EN";0,9;2;"13";"Szkola podstawowa im Henryka Sienkiewicza";"W Bloku Dobryszyce";2;2;NA;3;3;2;2;1;3;3;2;1;2;2;2;2;2;3;3;1;2;3;2;3;3;2;3;1;3;2;3;3;2;3;2;3;2;2;3;2;3;2;3;3;3;2;3;2;3;2;2;3;2;3;3;3;3;3;2;3;2;2;3;3;2;3;3;3;3;2;3;3;2;3;3;1;3;3;4;1;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;2;3;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;NA;2;4;2;3;3;2;2;2;2;2;2;1;2;1;1;3;3;3;2;3;2;2;3;2;1;1;1;"";"";2;"Mechanikiem";"";99;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"999";"";"";NA;NA;"";"";"";""
"7";"R_3dSuFvIS7m9HWwt";"WIELKOPOLSKIE";2020-11-04 07:14:55;2020-11-04 07:37:11;0;"94.154.29.209";100;1335;1;2020-11-04 07:37:11;"";"";"";"";"51.644805908203125";"17.815093994140625";"anonymous";"EN";0,9;1;"14";"Zespól Szkolno - Przedszkolny im. Orla Bialego we Wtórku";"Wtórek";1;3;3;2;4;1;3;1;3;2;2;4;4;NA;3;2;4;2;3;3;2;4;2;4;4;3;4;4;4;4;3;4;2;3;4;3;4;4;4;3;4;3;2;1;3;2;3;2;4;4;4;4;4;4;3;3;4;3;2;NA;3;3;2;2;3;3;1;1;2;2;1;2;3;2;4;3;3;4;3;4;3;4;2;4;2;2;2;3;4;3;3;4;2;4;4;3;3;3;1;4;2;3;2;3;4;3;3;1;4;4;3;4;2;1;1;1;4;2;2;1;1;2;1;3;3;3;4;2;3;2;4;2;4;3;3;2;1;2;2;1;1;4;4;2;2;1;1;2;3;4;3;4;2;3;4;2;3;1;3;4;3;2;3;4;4;4;"odkrywac nowe leki";"";4;"";"";79;1;"";"";"999";"";"";"";"";"";"";"";"";"";"";"";"";"";"999";"";"";NA;NA;"";"";"";""
"8";"R_1lAntiHPlgM9f4f";"WIELKOPOLSKIE";2020-11-04 23:49:03;2020-11-05 00:07:16;0;"217.173.2.162";100;1092;1;2020-11-05 00:07:16;"";"";"";"";"51.6464996337890625";"17.8885040283203125";"anonymous";"EN";0,9;1;"14";"Szkola Podstawowa im. Orla Bialego we Wtórku";"Wtórek";2;2;2;2;3;2;1;1;2;2;2;3;3;2;3;3;2;3;3;3;3;2;2;2;3;3;3;3;3;2;3;3;1;3;3;3;3;3;3;3;3;3;3;1;3;3;2;3;2;3;3;3;3;3;3;1;3;2;3;3;3;3;3;3;3;3;3;2;3;3;2;3;3;3;3;2;3;3;2;3;3;2;2;4;4;4;4;4;4;4;4;4;2;3;4;3;4;3;1;3;2;3;4;4;2;1;4;4;2;4;1;4;1;2;1;2;2;1;1;1;1;2;1;3;3;2;4;2;2;2;3;3;3;3;2;3;1;3;3;2;1;4;3;1;2;2;1;2;3;4;2;4;4;4;4;4;4;3;3;4;4;3;4;2;4;4;"Badac horoskopy";"Jest to dla mnie bardzo interesujace";3;"Pracowac w biurze";"Jest to dla mnie przyjemne";79;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";0;5;"Positive";"";"";"Unknown"
"9";"R_29JhyA2IyuI2Iud";"WIELKOPOLSKIE";2020-11-05 01:28:20;2020-11-05 01:50:58;0;"217.173.2.201";100;1358;1;2020-11-05 01:50:59;"";"";"";"";"51.644805908203125";"17.815093994140625";"anonymous";"EN";0,9;2;"14";"Szkola Podstawowa im. Orla Bialego we Wtórku";"Wtórek";1;1;1;1;2;1;1;1;1;3;3;3;2;1;NA;3;1;2;3;4;3;3;3;3;1;1;2;1;3;3;1;4;4;2;3;3;4;1;4;1;1;1;3;1;1;3;3;2;3;1;1;1;1;3;1;3;1;1;3;1;1;1;1;1;1;1;2;3;3;2;1;4;4;4;4;3;2;3;1;1;4;1;1;4;2;2;4;4;4;2;3;4;1;1;4;1;2;2;1;4;4;3;4;4;1;4;4;3;1;4;4;2;2;2;1;2;1;1;1;2;1;1;1;4;4;4;4;3;3;3;3;3;4;3;1;4;NA;2;1;1;1;4;4;1;1;1;1;4;2;1;NA;NA;1;1;1;1;1;1;1;3;3;1;2;1;3;2;"wynalezc leki na choroby na które leków nie ma";"jest to duzym problemem dzisiejszych czasów";2;"tlumaczem";"bardzo lubie jezyki obce";79;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";0;8;"Positive";"";"";"Unknown"
"10";"R_1gIrSVycunZUrFJ";"WIELKOPOLSKIE";2020-11-06 00:31:03;2020-11-06 00:57:22;0;"217.173.2.164";100;1579;1;2020-11-06 00:57:23;"";"";"";"";"51.6464996337890625";"17.8885040283203125";"anonymous";"EN";0,9;1;"14";"Szkola podstawowa im Orla Bialego we Wtórku";"Wtórek";2;4;4;1;4;3;1;4;4;3;4;4;4;4;1;1;4;4;4;4;4;4;1;1;4;1;4;4;1;1;4;1;1;1;4;4;4;1;1;4;1;1;1;2;4;1;4;4;1;4;1;4;4;1;1;1;4;4;4;1;4;4;1;1;1;4;1;1;1;4;4;4;1;4;4;4;4;1;1;1;4;1;1;4;4;4;1;4;4;1;1;1;4;1;4;1;4;4;1;4;1;2;4;4;1;2;4;1;1;2;4;4;4;1;1;4;1;4;1;1;1;1;2;1;1;4;1;4;1;4;1;NA;4;1;1;4;1;2;4;1;1;4;4;1;1;4;1;1;4;1;1;4;1;4;4;4;1;1;4;1;1;NA;2;1;4;1;"";"";2;"Kosmetyctwo";"Lubie pracowac z ludzmi, interesuje mnie kosmetyctwo";79;1;"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"1";"";"";0;5;"Positive";"";"";"Unknown"
